id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1194738218461375432,Wohnung Letzigrund Station,30690041,Sonam,Kreis 9,Altstetten,47.3821538,8.501014699999999,Entire home/apt,600,1,0,,,1,269,0,
1194783567690945185,Ganzes Apartment beim Letzigrund,7847686,Reto,Kreis 3,Sihlfeld,47.37935,8.50578,Entire home/apt,250,3,0,,,1,255,0,
1194835938035511585,3-rooms flat with an old charm,165613628,Beatrix,Kreis 4,Hard,47.3769066,8.5155954,Entire home/apt,800,1,0,,,1,184,0,
1194871776075899021,wohnung bahnhof wiedikon,119253417,Christopher,Kreis 4,Werd,47.37053,8.52553,Private room,120,1,0,,,1,365,0,
1194945320752673250,cozy central flat for 4 people,140101083,Agnes,Kreis 4,Hard,47.38109019716186,8.512415438890457,Entire home/apt,215,1,3,2024-09-22,0.35,1,81,3,
1195048572613797371,Cozy apartment,50473476,Jordy,Kreis 9,Altstetten,47.3837927,8.497718299999999,Entire home/apt,99,1,4,2024-12-27,0.47,1,7,4,
1195049612954620513,Attika mit Rooftop in Zürich!,36612635,Galina,Kreis 9,Altstetten,47.389,8.47908,Entire home/apt,,3,0,,,1,178,0,
1195055386143212963,Schönes Zimmer im Zentrum Zürich,360026850,Ivona,Kreis 6,Unterstrass,47.39145,8.54166,Private room,190,1,0,,,1,357,0,
1195440044123511760,The_classic_heroes,95704808,Diego,Kreis 9,Altstetten,47.38365048677495,8.499382250010967,Entire home/apt,200,1,1,2024-07-10,0.12,1,365,1,
1195555849888765680,Cozy 1-Bed Apartment in Zürich,1229459,Swissstay,Kreis 8,Weinegg,47.36124,8.56048,Entire home/apt,84,2,0,,,74,205,0,
1195630937856098426,Boutique Flat - heart of Zurich,23581017,Veronika,Kreis 4,Langstrasse,47.3756756,8.5280942,Entire home/apt,189,3,3,2025-01-07,0.45,1,6,3,
1195675105698352845,Im Herzen von Zürich,74172094,Ricco,Kreis 6,Oberstrass,47.3803,8.54852,Private room,180,1,0,,,1,269,0,
1195740432901516498,Belvedere Letzigrund,586614004,Ivan,Kreis 4,Hard,47.38267,8.50637,Entire home/apt,1200,1,0,,,1,365,0,
1195822035453889669,Taylor Swift,84469797,Patrick,Kreis 3,Sihlfeld,47.37748,8.50786,Private room,970,1,0,,,1,365,0,
1196095170946844887,Panoramic View Charming B&B,60891962,Heidi,Kreis 10,Wipkingen,47.39749,8.51468,Private room,233,1,0,,,1,87,0,
1196098353223225779,1 room in the heart of Zürich,29156895,Gisella,Kreis 3,Friesenberg,47.3685,8.50444,Private room,240,1,0,,,1,269,0,
1196127904838793077,Bijou Apartment in Zürich,3743434,Melinda,Kreis 6,Unterstrass,47.3881,8.53683,Entire home/apt,195,1,5,2025-03-23,0.59,1,134,5,
1196156667384493790,Nice room near the Mainstation,297669380,Cédric,Kreis 6,Unterstrass,47.379745,8.5439361,Private room,350,1,0,,,1,90,0,
1196271947283005699,ADAMS  a luxury apartment inside the palacekraft,13770499,Martin,Kreis 7,Fluntern,47.37731,8.56006,Entire home/apt,334,2,2,2024-10-19,0.34,7,173,2,
1196313532900301135,Cozy apartment 5min to Letzigrund Stadium,68712286,Bilal,Kreis 4,Hard,47.37706,8.51829,Entire home/apt,850,1,0,,,1,113,0,
1196328362760664855,Directly by main station,387772124,Isabela,Kreis 4,Langstrasse,47.37967,8.53621,Private room,137,1,0,,,1,365,0,
1196520172381418943,room in city center,378203737,Katja,Kreis 6,Unterstrass,47.395554413063905,8.540204211252394,Private room,99,1,0,,,1,365,0,
1196823946552148982,3-Zimmer-Wohnung in Zürich,352448150,Cindy,Kreis 2,Leimbach,47.3298818,8.513487099999999,Entire home/apt,222,1,2,2024-08-11,0.24,1,365,2,
1197120573864316298,Centrally located studio nearby lake (Cross 8),23561865,Dimi,Kreis 8,Seefeld,47.36237,8.5481,Entire home/apt,103,2,2,2024-08-22,0.27,122,0,2,
1197215131664824114,Studio,585693123,Ghislaine,Kreis 9,Altstetten,47.38934,8.4848,Entire home/apt,225,3,0,,,1,269,0,
1197591601515362340,"Blueground | Wiedikon, balcony & w/d, nr market",434204093,Blueground,Kreis 3,Alt-Wiedikon,47.36940209999999,8.5134761,Entire home/apt,376,30,0,,,168,143,0,
1197592091932880701,"Blueground | Oerlikon, balcony, w/d & elevator",434204093,Blueground,Kreis 11,Seebach,47.4159151,8.5546618,Entire home/apt,236,30,0,,,168,143,0,
1197765047972197598,quiet place in the heart of Züri,364102679,Melina,Kreis 10,Wipkingen,47.39113,8.52685,Entire home/apt,96,14,0,,,1,173,0,
1198573067328278041,"4 Bedroom Huge Flat in Zurich Center, SAU 2F4R",420370006,Kamila,Kreis 9,Altstetten,47.38614,8.48656,Entire home/apt,,1,8,2024-09-13,0.96,91,173,8,
1198994842217146464,Studio an zentraler Lage,4378131,Oliver,Kreis 3,Sihlfeld,47.37259108537219,8.519959149829443,Entire home/apt,89,1,0,,,6,81,0,
1199101909274312913,a comfortable place in a  great location,13770499,Martin,Kreis 6,Oberstrass,47.38468,8.55244,Entire home/apt,135,2,7,2025-02-26,0.88,7,302,7,
1199114000202373600,Charming 1-Bedroom flat,489137160,El-Hadi,Kreis 9,Altstetten,47.38216166610413,8.501708173016365,Entire home/apt,,1,0,,,1,0,0,
1199206769512753097,"NEW Spacious Studio, Heart of the CT Balcony RI6",420370006,Kamila,Kreis 6,Oberstrass,47.38518,8.55114,Entire home/apt,96,1,5,2024-11-03,0.63,91,173,5,
1199253818927531611,cozy & central private room with rooftop terrace,49202275,Annina,Kreis 4,Langstrasse,47.37681,8.52285,Private room,89,2,0,,,1,135,0,
1200021430863750618,2 rooms Flat Zurich Triemli with Balcony,54954522,Rafael,Kreis 3,Friesenberg,47.36752,8.49808,Entire home/apt,124,1,1,2024-10-06,0.18,2,354,1,
1200067717365411660,Cozy two bedroom flat in the heart of Zurich,139483718,Delia,Kreis 4,Langstrasse,47.37908,8.52688,Entire home/apt,186,1,16,2025-02-21,2.08,4,213,16,
1200097194331286484,Central two bedroom apartment,139483718,Delia,Kreis 4,Langstrasse,47.3790784,8.526877299999999,Entire home/apt,222,1,15,2025-03-16,2.00,4,199,15,
1200110905980538333,Equipped flat in central Zurich,139483718,Delia,Kreis 4,Langstrasse,47.37896216027837,8.526684180950914,Entire home/apt,173,1,15,2025-02-28,1.94,4,200,15,
1200434037210124312,Gemütliche Wohnung am Stadtrand,522662269,Edita,Kreis 12,Schwamendingen-Mitte,47.40697,8.57362,Entire home/apt,117,5,1,2024-08-31,0.15,1,358,1,
1200738678192622906,Beautiful apartment in Fluntern,53581962,Larissa,Kreis 7,Fluntern,47.38367,8.55593,Entire home/apt,152,14,0,,,1,180,0,
1201862222623268414,Charming Zurich City Flat with Balcony RI6,420370006,Kamila,Kreis 6,Oberstrass,47.38566240535237,8.55169634646885,Entire home/apt,43,1,6,2025-02-16,1.57,91,202,6,
1202036542475892648,City Center Downtown Flat in Zurich ZU 1F ANNON,420370006,Kamila,Kreis 3,Sihlfeld,47.37487,8.51468,Entire home/apt,,1,13,2025-01-29,1.65,91,0,13,
1202042731871920143,City Center Downtown Studio with Balcony ZU 2F MOO,420370006,Kamila,Kreis 3,Sihlfeld,47.37469,8.51391,Entire home/apt,85,1,14,2025-01-23,1.78,91,173,14,
1202161079304018875,"Apartment w/ Private Garden, 5min from lake!",90079151,Michelle,Kreis 2,Enge,47.36158469999999,8.5321378,Entire home/apt,137,2,9,2025-01-01,1.21,1,22,9,
1202181762344247118,Cozy studio near Opera (Cross 3),23561865,Dimi,Kreis 8,Seefeld,47.36329,8.54936,Entire home/apt,103,2,2,2024-12-03,0.43,122,0,2,
1202183091802926790,Casa da Osi,392474692,Oscar,Kreis 10,Wipkingen,47.39441,8.52518,Private room,60,1,57,2025-03-20,7.60,2,18,57,
1202611926134567647,Dreamy architectural apartment,261803747,Thomas,Kreis 7,Hottingen,47.38293,8.58817,Entire home/apt,,6,0,,,1,0,0,
1202637171810437696,"City Center / Wipkingen – 3 rooms, quiet",1746873,Frank,Kreis 10,Wipkingen,47.397,8.52287,Entire home/apt,117,2,35,2025-03-18,4.38,16,126,35,
1202756036366229659,"City Center / Wipkingen – 3 rooms, quiet",1746873,Frank,Kreis 10,Wipkingen,47.39514,8.52395,Entire home/apt,128,2,16,2025-03-19,2.02,16,141,16,
1202779174349568016,City Home Zurich - Quintuple,394644638,Marco,Kreis 11,Oerlikon,47.408581595431976,8.541967860893063,Private room,105,1,4,2024-09-04,0.52,4,32,4,
1202909680155740603,Practical studio in the city center (Art 7),23561865,Dimi,Kreis 7,Hottingen,47.37051,8.55001,Entire home/apt,112,2,7,2024-12-18,0.92,122,90,7,
1202915855923020760,Practical Studio nearby Lake (Cross 6),23561865,Dimi,Kreis 8,Seefeld,47.36214,8.54794,Entire home/apt,103,2,15,2025-03-02,2.01,122,37,15,
1203042518304587916,Charming 2BR City Apartment near Unterstrass Area!,57029086,Stefani,Kreis 11,Oerlikon,47.41322,8.54652,Entire home/apt,294,2,7,2024-12-26,0.97,29,320,7,
1203504649392526426,3 Room (2 Bedroom) City Center Vintage Flat Rot3R,420370006,Kamila,Kreis 3,Alt-Wiedikon,47.36917,8.51829,Entire home/apt,,1,5,2024-09-22,0.70,91,0,5,
1204142780945078598,Functional studio nearby Opera (Cross 7),23561865,Dimi,Kreis 8,Seefeld,47.36267,8.54934,Entire home/apt,103,2,2,2024-08-30,0.27,122,0,2,
1204372011140426002,Ruhige Wohnung in der Stadtmitte,21675383,Catherine,Kreis 8,Seefeld,47.35428,8.55651,Entire home/apt,147,2,4,2024-12-29,0.56,1,85,4,
